"날짜","종가","시가","고가","저가","거래량","변동 %"
"2020- 12- 31","64.32","64.84","64.91","64.12","2.15M","-0.91%"
"2020- 12- 30","64.91","64.47","65.34","64.45","1.90M","1.00%"
"2020- 12- 29","64.27","65.32","65.32","63.58","3.14M","-1.26%"
"2020- 12- 28","65.09","65.37","65.59","64.82","3.15M","0.51%"
"2020- 12- 24","64.76","64.93","65.12","64.30","918.85K","-0.02%"
"2020- 12- 23","64.77","64.60","65.04","64.36","2.35M","0.72%"
"2020- 12- 22","64.31","64.00","64.47","63.65","2.31M","1.52%"
"2020- 12- 21","63.35","62.17","63.44","61.91","1.94M","0.00%"
"2020- 12- 18","63.35","63.89","64.09","63.03","2.65M","-0.35%"
"2020- 12- 17","63.57","62.76","63.58","62.70","2.08M","1.87%"
"2020- 12- 16","62.40","62.27","62.65","61.85","2.32M","0.29%"
"2020- 12- 15","62.22","60.96","62.22","60.95","2.78M","2.64%"
"2020- 12- 14","60.62","61.87","61.95","60.56","4.84M","-1.04%"
"2020- 12- 11","61.26","61.64","62.10","60.70","1.95M","-1.10%"
"2020- 12- 10","61.94","61.44","62.17","61.04","1.90M","-0.10%"
"2020- 12- 09","62.00","62.38","62.74","61.23","2.43M","-0.51%"
"2020- 12- 08","62.32","61.97","62.61","61.81","2.32M","0.68%"
"2020- 12- 07","61.90","62.18","62.32","61.62","1.56M","-0.50%"
"2020- 12- 04","62.21","61.55","62.21","61.19","2.33M","1.20%"
"2020- 12- 03","61.47","61.00","61.97","60.93","2.97M","1.00%"
"2020- 12- 02","60.86","60.35","60.89","59.79","2.28M","0.08%"
"2020- 12- 01","60.81","60.94","61.10","60.18","3.48M","1.22%"
"2020- 11- 30","60.08","61.30","61.40","59.23","5.94M","-1.85%"
"2020- 11- 27","61.21","61.04","61.33","60.81","2.04M","0.86%"
"2020- 11- 25","60.69","60.45","60.99","60.05","5.03M","-0.16%"
"2020- 11- 24","60.79","60.50","60.90","59.78","4.12M","1.79%"
"2020- 11- 23","59.72","58.01","59.94","58.01","4.17M","3.73%"
"2020- 11- 20","57.57","57.83","58.13","57.35","7.07M","-0.10%"
"2020- 11- 19","57.63","56.32","57.68","56.30","4.00M","2.29%"
"2020- 11- 18","56.34","56.49","57.44","56.33","3.72M","0.11%"
"2020- 11- 17","56.28","55.47","56.50","55.09","2.81M","0.41%"
"2020- 11- 16","56.05","55.38","56.08","54.87","2.97M","2.67%"
"2020- 11- 13","54.59","53.94","54.77","53.94","2.46M","2.04%"
"2020- 11- 12","53.50","54.47","54.61","53.12","3.08M","-2.19%"
"2020- 11- 11","54.70","55.08","55.08","54.29","3.14M","0.05%"
"2020- 11- 10","54.67","54.63","55.04","53.74","3.17M","0.57%"
"2020- 11- 09","54.36","56.38","56.56","54.33","7.56M","1.23%"
"2020- 11- 06","53.70","53.97","54.22","53.52","2.35M","-0.50%"
"2020- 11- 05","53.97","52.97","54.23","52.97","2.96M","3.13%"
"2020- 11- 04","52.33","52.58","52.90","51.98","4.55M","-0.25%"
"2020- 11- 03","52.46","51.26","52.72","51.07","3.34M","3.53%"
"2020- 11- 02","50.67","50.51","50.81","50.01","2.55M","1.67%"
"2020- 10- 30","49.84","50.99","51.34","49.39","3.77M","-2.69%"
"2020- 10- 29","51.22","51.54","51.73","50.95","3.62M","-0.66%"
"2020- 10- 28","51.56","51.86","52.33","51.47","4.23M","-2.42%"
"2020- 10- 27","52.84","53.13","53.30","52.77","1.86M","-0.40%"
"2020- 10- 26","53.05","53.73","54.02","52.14","4.96M","-2.55%"
"2020- 10- 23","54.44","54.22","54.44","53.62","2.99M","0.91%"
"2020- 10- 22","53.95","53.47","54.19","52.78","3.88M","0.95%"
"2020- 10- 21","53.44","53.90","54.22","53.19","3.95M","-0.65%"
"2020- 10- 20","53.79","54.01","54.52","53.72","4.49M","0.20%"
"2020- 10- 19","53.68","54.62","55.12","53.55","3.45M","-1.11%"
"2020- 10- 16","54.28","55.15","55.26","54.28","2.48M","-1.09%"
"2020- 10- 15","54.88","53.52","55.05","53.27","2.46M","1.50%"
"2020- 10- 14","54.07","54.81","55.11","53.86","2.36M","-0.83%"
"2020- 10- 13","54.52","53.85","54.71","53.71","2.69M","0.87%"
"2020- 10- 12","54.05","54.26","54.56","54.02","1.85M","0.02%"
"2020- 10- 09","54.04","54.32","54.61","53.95","3.23M","0.06%"
"2020- 10- 08","54.01","53.52","54.02","53.02","2.11M","1.56%"
"2020- 10- 07","53.18","52.50","53.34","52.48","3.26M","2.74%"
"2020- 10- 06","51.76","53.06","53.33","51.54","5.96M","-1.91%"
"2020- 10- 05","52.77","51.63","52.83","51.63","5.01M","2.89%"
"2020- 10- 04","51.29","51.29","51.29","51.29","","0.00%"
"2020- 10- 03","51.29","51.29","51.29","51.29","","0.00%"
"2020- 10- 02","51.29","49.84","51.45","49.66","4.81M","0.55%"
"2020- 10- 01","51.01","49.96","51.08","49.91","5.28M","2.72%"
"2020- 09- 30","49.66","49.50","50.19","49.29","3.00M","0.71%"
"2020- 09- 29","49.31","50.04","50.07","49.08","2.17M","-1.54%"
"2020- 09- 28","50.08","49.52","50.15","49.48","3.66M","2.45%"
"2020- 09- 27","48.88","48.88","48.88","48.88","","0.00%"
"2020- 09- 26","48.88","48.88","48.88","48.88","","0.00%"
"2020- 09- 25","48.88","48.37","49.08","48.28","2.45M","0.72%"
"2020- 09- 24","48.53","49.05","49.36","48.02","8.67M","-1.52%"
"2020- 09- 23","49.28","50.66","51.19","49.22","4.62M","-2.65%"
"2020- 09- 22","50.62","49.91","50.67","49.59","3.93M","2.70%"
"2020- 09- 21","49.29","49.30","49.52","48.43","6.07M","-2.22%"
